user_id,user_idx
17709,820
17714,821
17716,822
17727,823
17761,824
17765,825
17823,826
17825,827
17826,828
17830,829
17861,830
17862,831
17863,832
17866,833
17870,834
17880,835
17881,836
17882,837
18008,838
18010,839
18015,840
18024,841
18034,842
18047,843
18048,844
18057,845
18058,846
18080,847
18081,848
18083,849
18090,850
18116,851
18117,852
18119,853
18120,854
18125,855
18165,856
18167,857
18171,858
18202,859
18211,860
18212,861
18221,862
18250,863
18288,864
18294,865
18295,866
18339,867
18341,868
18360,869
18391,870
18432,871
18483,872
18485,873
18536,874
18547,875
18548,876
18553,877
18555,878
18583,879
18608,880
18610,881
18634,882
18642,883
18684,884
18775,885
18781,886
18782,887
18799,888
18843,889
18865,890
18869,891
18994,892
19039,893
19066,894
19067,895
19183,896
19200,897
19208,898
19216,899
19226,900
19227,901
19239,902
19253,903
19272,904
19279,905
19284,906
19391,907
19401,908
19407,909
19408,910
19416,911
19418,912
19445,913
19449,914
19457,915
19494,916
19541,917
19562,918
19589,919
19625,920
19647,921
19651,922
19660,923
19673,924
19691,925
19711,926
19761,927
19762,928
19772,929
19773,930
19899,931
19938,932
20004,933
20059,934
20087,935
20094,936
20130,937
20137,938
20149,939
20153,940
20158,941
20160,942
20195,943
20198,944
20202,945
20223,946
20233,947
20258,948
20294,949
20300,950
20304,951
20305,952
20317,953
20319,954
20338,955
20342,956
20388,957
20399,958
20416,959
20454,960
20455,961
20468,962
20491,963
20525,964
20528,965
20538,966
20547,967
20549,968
20591,969
20607,970
20610,971
20629,972
20670,973
20671,974
20706,975
20758,976
20806,977
20807,978
20822,979
20832,980
20954,981
21000,982
21049,983
21061,984
21062,985
21063,986
21072,987
21082,988
21111,989
21123,990
21129,991
21216,992
21253,993
21259,994
21260,995
21285,996
21317,997
21364,998
21366,999
21370,1000
21381,1001
21392,1002
21413,1003
21415,1004
21435,1005
21438,1006
21480,1007
21483,1008
21490,1009
21502,1010
21507,1011
21522,1012
21537,1013
21539,1014
21599,1015
21609,1016
21611,1017
21629,1018
21648,1019
21685,1020
21694,1021
21705,1022
21709,1023
21710,1024
21713,1025
21718,1026
21724,1027
21733,1028
21788,1029
21790,1030
21795,1031
21823,1032
21824,1033
21829,1034
21831,1035
21903,1036
21994,1037
22016,1038
22017,1039
22018,1040
22051,1041
22069,1042
22088,1043
22140,1044
22166,1045
22187,1046
22190,1047
22221,1048
22227,1049
22228,1050
22304,1051
22320,1052
22343,1053
22352,1054
22361,1055
22378,1056
22379,1057
22403,1058
22434,1059
22437,1060
22440,1061
22443,1062
22481,1063
22485,1064
22489,1065
22490,1066
22529,1067
22555,1068
22569,1069
22592,1070
22595,1071
22597,1072
22647,1073
22652,1074
22661,1075
22662,1076
22676,1077
22698,1078
22711,1079
22719,1080
22720,1081
22742,1082
22783,1083
22823,1084
22852,1085
22878,1086
22879,1087
22887,1088
22888,1089
22909,1090
22916,1091
22956,1092
22971,1093
22988,1094
22990,1095
22991,1096
22992,1097
22993,1098
23012,1099
23039,1100
23047,1101
23069,1102
23073,1103
23077,1104
23078,1105
23104,1106
23116,1107
23148,1108
23174,1109
23212,1110
23216,1111
23218,1112
23219,1113
23234,1114
23243,1115
23245,1116
23288,1117
23299,1118
23307,1119
23334,1120
23339,1121
23343,1122
23382,1123
23407,1124
23421,1125
23453,1126
23460,1127
23482,1128
23488,1129
23493,1130
23500,1131
23571,1132
23602,1133
23621,1134
23624,1135
23641,1136
23666,1137
23677,1138
23685,1139
23726,1140
23729,1141
23761,1142
23770,1143
23775,1144
23804,1145
23814,1146
